date,time,load_act
20240803,800,3572
20240803,900,4009
20240803,1000,4252
20240803,1100,4413
20240803,1200,4480
20240803,1300,4521
20240803,1400,4509
20240803,1500,4486
20240803,1600,4466
20240803,1700,4362
20240803,1800,4214
20240803,1900,4078
20240803,2000,3874
20240803,2100,3659
20240803,2200,3460
20240803,2300,3268
20240804,0,3000
20240804,100,2799
20240804,200,2681
20240804,300,2629
20240804,400,2613
20240804,500,2604
20240804,600,2693
20240804,700,2972
20240804,800,3358
20240804,900,3790
20240804,1000,4074
20240804,1100,4260
20240804,1200,4372
20240804,1300,4414
20240804,1400,4432
20240804,1500,4449
20240804,1600,4406
20240804,1700,4311
20240804,1800,4203
20240804,1900,4103
20240804,2000,3923
20240804,2100,3710
20240804,2200,3489
20240804,2300,3295
20240805,0,3030
20240805,100,2833
20240805,200,2728
20240805,300,2691
20240805,400,2705
20240805,500,2781
20240805,600,3091
20240805,700,3656
20240805,800,4396
20240805,900,4950
20240805,1000,5215
